Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
50702014,"Paladin's Grace (The Saint of Steel, #1)",T. Kingfisher,"Kingfisher, T.",,,,0,4.2,Red Wombat Studio,Kindle Edition,366,2020,2020,,11/4/2022,to-read,to-read (#71),to-read,,,,0,0
34532,"Hogfather (Discworld, #20; Death, #4)",Terry Pratchett,"Pratchett, Terry",,552154288,9.78055E+12,0,4.24,Corgi,Paperback,432,2006,1996,,10/30/2022,currently-reading,currently-reading (#2),currently-reading,,,,1,0
34502,"Soul Music (Discworld, #16; Death, #3)",Terry Pratchett,"Pratchett, Terry",,057506689X,9.78058E+12,3,4.04,Gollancz,Hardcover,424,1999,1994,10/27/2022,8/28/2022,,,read,,,,1,0
140974,"The Path of Daggers (The Wheel of Time, #8)",Robert Jordan,"Jordan, Robert",,812550293,9.78081E+12,0,3.92,Tor Books,Mass Market Paperback,685,1999,1998,,10/16/2022,currently-reading,currently-reading (#1),currently-reading,,,,1,0
13890,"A Crown of Swords (The Wheel of Time, #7)",Robert Jordan,"Jordan, Robert",,812550285,9.78081E+12,3,4.05,Tor Books,Mass Market Paperback,880,1997,1996,10/14/2022,9/23/2022,,,read,,,,1,0
59756995,"The Ink Black Heart (Cormoran Strike, #6)",Robert Galbraith,"Galbraith, Robert",Robert Glenister,,,3,4.14,Mulholland,Audible Audio,944,2022,2022,9/22/2022,8/31/2022,,,read,,,,1,0
35231,"Lord of Chaos (The Wheel of Time, #6)",Robert Jordan,"Jordan, Robert",,812513754,9.78081E+12,3,4.16,Tom Doherty Associates,Mass Market Paperback,1011,1995,1994,8/29/2022,8/3/2022,,,read,,,,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,593135202,9.78059E+12,3,4.52,Ballantine Books,Hardcover,476,2021,2021,8/28/2022,8/21/2022,,,read,,,,1,0
18079767,Solving the Procrastination Puzzle: A Concise Guide to Strategies for Change,Timothy A. Pychyl,"Pychyl, Timothy A.",,399168125,9.7804E+12,3,3.7,TarcherPerigee,Paperback,128,2013,2013,8/20/2022,8/15/2022,bussiness-self-development,bussiness-self-development (#29),read,,,,1,0
34517,"Reaper Man (Discworld, #11; Death, #2)",Terry Pratchett,"Pratchett, Terry",,552152951,9.78055E+12,3,4.28,Corgi,Paperback,352,2005,1991,8/14/2022,7/14/2022,,,read,,,,1,0
187065,"New Spring (The Wheel of Time, #0)",Robert Jordan,"Jordan, Robert",,1841492612,9.78184E+12,3,4.05,Orbit,Paperback,423,2004,2004,8/3/2022,7/28/2022,,,read,,,,1,0
20170404,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,385353308,9.78039E+12,0,4.07,Knopf,Hardcover,333,2014,2014,,8/1/2022,to-read,to-read (#70),to-read,,,,0,0
13895,"The Fires of Heaven (The Wheel of Time, #5)",Robert Jordan,"Jordan, Robert",,1857232097,9.78186E+12,4,4.18,Orbit,Paperback,912,1994,1993,7/28/2022,7/2/2022,,,read,,,,1,0
53447,El túnel,Ernesto Sabato,"Sabato, Ernesto",Nino Pipia,9871144261,9.78987E+12,0,4.03,Booket,Paperback,158,2003,1948,,7/24/2022,to-read,to-read (#69),to-read,,,,0,0
52578297,The Midnight Library,Matt Haig,"Haig, Matt",,,,0,4.03,Viking,Hardcover,288,2020,2020,,7/18/2022,to-read,to-read (#68),to-read,,,,0,0
186766,Matadero Cinco,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",Margarita García de Miró,8433920316,9.78843E+12,0,4.09,Editorial Anagrama,Paperback,188,2006,1969,,7/17/2022,to-read,to-read (#67),to-read,,,,0,0
4898,Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant,W. Chan Kim,"Kim, W. Chan",Renée Mauborgne,1591396190,9.78159E+12,3,3.99,Harvard Business Review Press,Hardcover,240,2005,1994,7/13/2022,6/21/2020,,,read,,,,1,0
1301,Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,"Lewis, Michael",,393324818,9.78039E+12,4,4.25,W. W. Norton  Company,Paperback,317,2004,2003,7/4/2022,6/21/2020,,,read,,,,1,0
9539,"The Shadow Rising (The Wheel of Time, #4)",Robert Jordan,"Jordan, Robert",,812513738,9.78081E+12,4,4.26,Tom Doherty Tor Fantasy,Mass Market Paperback,1007,1993,1992,7/1/2022,5/30/2022,,,read,,,,1,0
34897,"The Dragon Reborn (The Wheel of Time, #3)",Robert Jordan,"Jordan, Robert",,765305119,9.78077E+12,3,4.27,Tor Books,Mass Market Paperback,624,2002,1991,5/28/2022,5/10/2022,,,read,,,,1,0
233649,"The Great Hunt (The Wheel of Time, #2)",Robert Jordan,"Jordan, Robert",,812517725,9.78081E+12,3,4.25,Tor Books,Mass Market Paperback,705,1991,1990,,5/8/2022,,,read,,,,1,0
20249,"Hunters of Dune (Dune, #7)",Brian Herbert,"Herbert, Brian",Kevin J. Anderson,765312921,9.78077E+12,2,3.67,Tor Books,Hardcover,524,2006,2006,5/8/2022,2/16/2022,,,read,,,,1,0
228665,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,"Jordan, Robert",Роберт Джордан,812511816,9.78081E+12,4,4.19,Tor Books,Mass Market Paperback,800,1990,1990,4/17/2022,7/31/2020,,,read,,,,1,0
32758901,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,"Wells, Martha",,,,0,4.16,Tor.com,ebook,144,2017,2017,,4/13/2022,to-read,to-read (#66),to-read,,,,0,0
20451634,おやすみプンプン コミック 全13巻完結セット (Oyasumi Punpun Box Set),Inio Asano,"Asano, Inio",,,,2,4.68,小学館 ― Shogakukan,,2956,2013,2007,3/8/2022,2/14/2022,manga,manga (#10),read,,,,1,0
3758,"Casino Royale (James Bond, #1)",Ian Fleming,"Fleming, Ian",,014200202X,9.78014E+12,0,3.74,Penguin,Paperback,192,2002,1953,,3/4/2022,to-read,to-read (#65),to-read,,,,0,0
6088007,"Neuromancer (Sprawl, #1)",William Gibson,"Gibson, William",,,,0,3.9,Ace,Kindle Edition,292,2000,1984,,8/17/2021,to-read,to-read (#64),to-read,,,,0,0
25451264,"Death's End (Remembrance of Earth’s Past, #3)",Liu Cixin,"Cixin, Liu",Ken Liu,765377101,9.78077E+12,3,4.43,TOR,Hardcover,604,2016,2010,2/12/2022,1/25/2022,,,read,,,,1,0
62111,The Swiss Family Robinson,Johann David Wyss,"Wyss, Johann David","Scott McKowen, Arthur Pober",1402726023,9.7814E+12,0,3.91,Sterling,Hardcover,345,2006,1812,,2/5/2022,to-read,to-read (#63),to-read,,,,0,0
70535,2001: A Space Odyssey,Arthur C. Clarke,"Clarke, Arthur C.",,451457994,9.78045E+12,3,4.16,Roc,Paperback,297,2000,1968,1/30/2022,8/4/2020,,,read,,,,1,0
6617185,Soccernomics,Simon Kuper,"Kuper, Simon",Stefan Szymanski,1568584253,9.78157E+12,0,3.94,Nation Books,Paperback,328,2009,2009,,1/25/2022,to-read,to-read (#62),to-read,,,,0,0
23168817,"The Dark Forest (Remembrance of Earth’s Past, #2)",Liu Cixin,"Cixin, Liu","Eisso Post, Joel Martinsen, Bruno Roubicek, Richard Heufkens",,,4,4.41,Tor Books,Hardcover,512,2015,2008,1/23/2022,1/9/2022,,,read,,,,1,0
92610,"Rocannon's World (Hainish Cycle, #1)",Ursula K. Le Guin,"Guin, Ursula K. Le",,441732968,9.78044E+12,0,3.77,Ace,Paperback,144,1984,1966,,1/20/2022,to-read,to-read (#61),to-read,,,,0,0
48855,The Diary of a Young Girl,Anne Frank,"Frank, Anne","Eleanor Roosevelt, Susan Massotty, Γιάννης Θωμόπουλος, Barbara Mooyaart-Doubleday, Otto H. Frank, Mirjam Pressler",,,0,4.18,Bantam,Mass Market Paperback,283,1993,1947,,1/14/2022,to-read,to-read (#60),to-read,,,,0,0
21853621,The Nightingale,Kristin Hannah,"Hannah, Kristin",,312577222,9.78031E+12,0,4.6,St. Martin's Press,Hardcover,440,2015,2015,,1/14/2022,to-read,to-read (#59),to-read,,,,0,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,765377063,9.78077E+12,3,4.08,Tor Books,Hardcover,399,2014,2006,1/9/2022,2/28/2019,,,read,,,,1,0
450534,When the Body Says No: The Cost of Hidden Stress,Gabor Maté,"Maté, Gabor",,676973124,9.78068E+12,1,4.29,Vintage Canada,Paperback,320,2004,2003,12/31/2021,12/15/2021,,,read,,,,1,0
414999,Childhood's End,Arthur C. Clarke,"Clarke, Arthur C.",,,,0,4.11,Del Rey Books,Mass Market Paperback,224,1987,1953,,12/29/2021,to-read,to-read (#58),to-read,,,,0,0
27833670,Dark Matter,Blake Crouch,"Crouch, Blake","Hilary Clarcq, Andy Weir",1101904224,9.7811E+12,0,4.13,Crown,Hardcover,352,2016,2016,,12/29/2021,to-read,to-read (#57),to-read,,,,0,0
43587154,"Jade City (The Green Bone Saga, #1)",Fonda Lee,"Lee, Fonda",,316440884,9.78032E+12,0,4.11,Orbit,Paperback,560,2018,2017,,12/26/2021,to-read,to-read (#56),to-read,,,,0,0
17465493,The Numbers Game: Why Everything You Know About Soccer Is Wrong,Chris  Anderson,"Anderson, Chris",David Sally,143124560,9.78014E+12,0,3.72,Penguin Books,Paperback,400,2013,2013,,12/26/2021,to-read,to-read (#55),to-read,,,,0,0
24800,House of Leaves,Mark Z. Danielewski,"Danielewski, Mark Z.",,038560310X,9.78039E+12,3,4.09,Random House,Paperback,710,2000,2000,12/21/2021,12/9/2021,,,read,,,,1,0
13658,"The Other Wind (Earthsea Cycle, #6)",Ursula K. Le Guin,"Guin, Ursula K. Le",Samuel Roukin,044101125X,9.78044E+12,3,4.17,Ace Books,Paperback,211,2003,2001,12/13/2021,12/5/2021,,,read,,,,1,0
36099978,"Season of Storms (The Witcher, #0)",Andrzej Sapkowski,"Sapkowski, Andrzej",David French,,9.78032E+12,3,3.96,Orbit,Hardcover,419,2018,2013,12/8/2021,12/2/2021,,,read,,,,1,0
13659,"Tales from Earthsea (Earthsea Cycle, #5)",Ursula K. Le Guin,"Guin, Ursula K. Le",,441011241,9.78044E+12,3,4.07,Ace,Paperback,280,2003,2001,12/3/2021,11/20/2021,,,read,,,,1,0
31933977,"Lady of the Lake (The Witcher, #5)",Andrzej Sapkowski,"Sapkowski, Andrzej",David French,,,3,4.12,Orbit,Paperback,531,2017,1999,11/30/2021,11/26/2021,,,read,,,,1,0
18247597,"The Tower of the Swallow (The Witcher, #4)",Andrzej Sapkowski,"Sapkowski, Andrzej",David French,1473211565,9.78147E+12,3,4.23,Gollancz,Paperback,448,2016,1997,11/21/2021,11/14/2021,,,read,,,,1,0
13661,"Tehanu (Earthsea Cycle, #4)",Ursula K. Le Guin,"Guin, Ursula K. Le",,1416509631,9.78142E+12,3,4,Pocket Books,Paperback,281,2004,1990,11/14/2021,11/6/2021,,,read,,,,1,0
18656031,"Baptism of Fire (The Witcher, #3)",Andrzej Sapkowski,"Sapkowski, Andrzej",David French,316219185,9.78032E+12,2,4.26,Orbit,Paperback,349,2014,1996,11/12/2021,11/5/2021,,,read,,,,1,0
14781491,"The Time of Contempt (The Witcher, #2)",Andrzej Sapkowski,"Sapkowski, Andrzej",David French,316219134,9.78032E+12,3,4.17,Orbit,Paperback,331,2013,1995,11/5/2021,10/30/2021,,,read,,,,1,0
6043781,"Blood of Elves (The Witcher, #1)",Andrzej Sapkowski,"Sapkowski, Andrzej",Danusia Stok,031602919X,9.78032E+12,3,4.1,Hachette Book Group,Mass Market Paperback,398,2009,1994,10/30/2021,10/25/2021,,,read,,,,1,0
25454056,"Sword of Destiny (The Witcher, #0.7)",Andrzej Sapkowski,"Sapkowski, Andrzej",David A French,,,4,4.28,Orbit,Kindle Edition,384,2015,1992,10/25/2021,10/20/2021,,,read,,,,1,0
40603587,"The Last Wish (The Witcher, #0.5)",Andrzej Sapkowski,"Sapkowski, Andrzej",Danusia Stok,,,3,4.14,Orbit,Kindle Edition,400,2008,1993,10/19/2021,10/13/2021,,,read,,,,1,0
